file,sheet,row,year,category,asset,side,entry_date,exit_date,pnl,side_norm
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,24,2015,Ações,ECOR3,SHORT,2015-09-01,2015-09-30,296.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,25,2015,Ações,GFSA3,SHORT,2015-09-03,2015-09-08,-168.99999999999955,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,26,2015,Ações,PETR4,SHORT,2015-09-03,2015-09-30,501.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,27,2015,FIIs,ALUP11,SHORT,2015-09-03,2015-09-11,-152.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,28,2015,Ações,PETR3,SHORT,2015-09-03,2015-09-30,344.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,29,2015,Ações,BBDC4,SHORT,2015-09-09,2015-09-14,-63.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,30,2015,Ações,ALPA4,SHORT,2015-09-09,2015-10-02,375.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,31,2015,Ações,CPFE3,SHORT,2015-09-09,2015-09-15,-158.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,32,2015,Ações,CMIG4,SHORT,2015-09-11,2015-09-16,0.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,33,2015,Ações,ITSA3,SHORT,2015-09-11,2015-09-15,-300.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,34,2015,Ações,MÉDIA/TOTAL,,,,-1416.9999999999995,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,2,2015,Futuros,WINQ15,1.0,2015-07-21,2015-08-11,618.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,3,2015,Futuros,WDOU15,1.0,2015-08-06,2015-08-06,-10.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,4,2015,Futuros,CCMU15,1.0,2015-08-19,2015-09-09,1026.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,5,2015,Futuros,BGIV15,1.0,2015-08-20,2015-09-16,-59.400000000001455,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,6,2015,Futuros,WDOV15,1.0,2015-09-14,2015-09-14,-450.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,7,2015,Futuros,CCMX15,1.0,2015-09-09,-,706.5,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,8,2015,Futuros,WINV15,2.0,2015-09-15,2015-09-15,-54.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,9,2015,Futuros,WDOV15,1.0,2015-09-15,-,1119.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,10,2015,Futuros,ICFZ15,1.0,2015-09-15,2015-09-16,-310.40000000000146,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,11,2015,Futuros,BGIV15,1.0,2015-09-17,-,-99.00000000000728,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,12,2015,Futuros,BGIV15,1.0,2015-09-17,-,-544.5000000000073,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,13,2015,Futuros,WINV15,2.0,2015-09-15,-,-450.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,14,2015,Futuros,ICFZ15,1.0,2015-09-23,2015-09-16,-372.33000000000175,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,15,2015,Futuros,WDOV15,1.0,2015-09-25,-,-11.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,16,2015,Futuros,BGIV15,2.0,2015-09-17,-,-165.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,17,2015,Futuros,CCMX15,1.0,2015-09-29,-,-580.5000000000036,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,18,2015,Futuros,ICFZ15,1.0,2015-09-30,-,-1421.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,19,2015,Futuros,BGIV15,1.0,2015-09-30,2015-10-19,62.69999999999709,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,20,2015,Futuros,WDOX15,1.0,2015-10-01,-,-655.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,21,2015,Futuros,WDOX15,1.0,2015-10-14,2015-10-14,-620.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,22,2015,Futuros,CCMX15,2.0,2015-10-14,2015-10-15,-513.0,Não informado
